id_jogo,nome,data_lancamento,desenvolvedor,publicadora,generos,categorias,plataformas,preco,moeda,jogadores_atuais
730,Counter-Strike 2,"Aug 21, 2012",Valve,Valve,"Action, Free To Play","Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Steam Timeline","windows, linux",0.0,FREE,
1172470,Apex Legends™,"4 Nov, 2020",Respawn,Electronic Arts,"Action, Adventure, Free To Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Chat Speech-to-text, Playable without Timed Input",windows,0.0,FREE,
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",PUBG Corporation,"KRAFTON, Inc.","Action, Adventure, Massively Multiplayer, Free To Play","Multi-player, PvP, Online PvP, Stats, Remote Play on Phone, Remote Play on Tablet",windows,0.0,FREE,
1623730,Palworld,"18 Jan, 2024",Pocketpair,Pocketpair,"Action, Adventure, Indie, RPG, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",windows,88.99,BRL,
440,Team Fortress 2,"10 Oct, 2007",Valve,Valve,"Action, Free To Play","Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Stereo Sound, Surround Sound, Partial Controller Support, Valve Anti-Cheat enabled, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet","windows, linux",0.0,FREE,
1938090,Call of Duty®,"27 Oct, 2022",Treyarch,Activision,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Captions available, In-App Purchases",windows,0.0,FREE,
1063730,New World: Aeternum,"28 Sep, 2021",Amazon Games,Amazon Games,"Action, Adventure, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support",windows,327.89,BRL,
2358720,Black Myth: Wukong,"19 Aug, 2024",Game Science,Game Science,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing",windows,229.99,BRL,
271590,Grand Theft Auto V Legacy,"13 Apr, 2015",Rockstar North,Rockstar Games,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",windows,0.0,FREE,
550,Left 4 Dead 2,"16 Nov, 2009",Valve,Valve,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing, Steam Timeline","windows, linux",9.75,EUR,
304930,Unturned,"7 Jul, 2017",Smartly Dressed Games,Smartly Dressed Games,"Action, Adventure, Casual, Indie, Free To Play","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Remote Play on Tablet","windows, mac, linux",0.0,FREE,
1599340,Lost Ark,"11 Feb, 2022",Smilegate RPG,Amazon Games,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support",windows,0.0,FREE,
