id_jogo,nome,data_lancamento,desenvolvedor,publicadora,generos,categorias,plataformas,preco,moeda,jogadores_atuais
1623730,Palworld,"18 Jan, 2024",Pocketpair,Pocketpair,"Action, Adventure, Indie, RPG, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",windows,88.99,BRL,
304930,Unturned,"Jul 7, 2017",Smartly Dressed Games,Smartly Dressed Games,"Action, Adventure, Casual, Indie, Free To Play","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Remote Play on Tablet","windows, mac, linux",0.0,FREE,
105600,Terraria,"16 May, 2011",Re-Logic,Re-Logic,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",32.99,BRL,
431960,Wallpaper Engine,"16 Nov, 2018",Wallpaper Engine Team,Wallpaper Engine Team,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities","Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Workshop, Includes level editor",windows,5600.0,KRW,
291550,Brawlhalla,"17 Oct, 2017",Blue Mammoth Games,Ubisoft,"Action, Indie, Free To Play","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together","windows, mac",0.0,FREE,
4000,Garry's Mod,"29 Nov, 2006",Facepunch Studios,Valve,"Casual, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Includes Source SDK, Remote Play on Tablet, Family Sharing","windows, mac, linux",10500.0,KRW,
252490,Rust,"Feb 8, 2018",Facepunch Studios,Facepunch Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Tablet","windows, mac",39.99,USD,
346110,ARK: Survival Evolved,"27 Aug, 2017",Studio Wildcard,Studio Wildcard,"Action, Adventure, Indie, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, Co-op, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Remote Play on Tablet, Family Sharing","windows, mac",46.99,BRL,
413150,Stardew Valley,"26 Feb, 2016",ConcernedApe,ConcernedApe,"Indie, RPG, Simulation","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","windows, mac, linux",24.99,BRL,
242760,The Forest,"30 Apr, 2018",Endnight Games Ltd,Endnight Games Ltd,"Action, Adventure, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Tracked Controller Support, VR Supported, Partial Controller Support, Steam Cloud, Family Sharing",windows,37.99,BRL,
238960,Path of Exile,"23 Oct, 2013",Grinding Gear Games,Grinding Gear Games,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Tablet","windows, mac",0.0,FREE,
899770,Last Epoch,"21 Feb, 2024",Eleventh Hour Games,Eleventh Hour Games,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, Full controller support, In-App Purchases, Steam Cloud",windows,99.99,BRL,
1097150,Fall Guys,"3 Aug, 2020",Mediatonic,,"Action, Casual, Indie, Massively Multiplayer, Sports","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet",windows,0.0,FREE,
227300,Euro Truck Simulator 2,"12 Oct, 2012",SCS Software,SCS Software,"Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","windows, mac, linux",10.09,USD,
892970,Valheim,"2 Feb, 2021",Iron Gate AB,Coffee Stain Publishing,"Action, Adventure, Indie, RPG, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud, Remote Play on Tablet, Family Sharing","windows, mac, linux",26.99,CAD,
739630,Phasmophobia,"Sep 18, 2020",Kinetic Games,Kinetic Games,"Action, Indie, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Trading Cards, Camera Comfort, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",windows,19.99,USD,
227940,Heroes & Generals,"18 Oct, 2016",TLM Partners,TLM Partners,"Action, Free To Play, Indie, Massively Multiplayer, Strategy","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Stats, Family Sharing",windows,0.0,FREE,
252950,Rocket League®,"6 Jul, 2015",Psyonix LLC,Psyonix LLC,"Action, Indie, Racing, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",windows,0.0,FREE,
108600,Project Zomboid,"8 Nov, 2013",The Indie Stone,The Indie Stone,"Indie, RPG, Simulation, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Partial Controller Support, Remote Play Together, Family Sharing","windows, mac, linux",59.99,BRL,
1966720,Lethal Company,"23 Oct, 2023",Zeekerss,Zeekerss,"Action, Adventure, Indie, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Partial Controller Support, Family Sharing",windows,32.99,BRL,
648800,Raft,"Jun 20, 2022",Redbeet Interactive,Axolot Games,"Adventure, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",windows,19.99,USD,
3164500,Schedule I,"24 Mar, 2025",TVGS,TVGS,"Action, Indie, Simulation, Strategy, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Save Anytime, Stereo Sound, Steam Cloud, Family Sharing",windows,10.49,USD,
322330,Don't Starve Together,"21 Apr, 2016",Klei Entertainment,Klei Entertainment,"Action, Adventure, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",9.51,BRL,
477160,Human Fall Flat,"22 Jul, 2016",No Brakes Games,Curve Games,"Adventure, Casual, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Stats, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac",11.39,BRL,
251570,7 Days to Die,"25 Jul, 2024",The Fun Pimps,The Fun Pimps Entertainment LLC,"Action, Adventure, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",121.99,BRL,
1116170,CyberCorp,"22 Apr, 2025",Megame LLC,Megame LLC,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Camera Comfort, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Partial Controller Support, Steam Cloud, Family Sharing",windows,37.59,BRL,
1326470,Sons Of The Forest,"22 Feb, 2024",Endnight Games Ltd,Newnight ,"Action, Adventure, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",windows,88.99,BRL,
219990,Grim Dawn,"25 Feb, 2016",Crate Entertainment,Crate Entertainment,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",windows,73.99,BRL,
261550,Mount & Blade II: Bannerlord,"25 Oct, 2022",TaleWorlds Entertainment,TaleWorlds Entertainment,"Action, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing",windows,199.99,BRL,
2186680,"Warhammer 40,000: Rogue Trader","7 Dec, 2023",Owlcat Games,Owlcat Games,"Adventure, Indie, RPG, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing","windows, mac",124.99,BRL,
526870,Satisfactory,"10 Sep, 2024",Coffee Stain Studios,Coffee Stain Publishing,"Adventure, Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",windows,107.99,BRL,
632360,Risk of Rain 2,"11 Aug, 2020",Hopoo Games,Gearbox Publishing,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",windows,59.99,BRL,
204360,Castle Crashers®,"26 Sep, 2012",The Behemoth,The Behemoth,"Action, Adventure, Casual, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac",24.99,BRL,
322170,Geometry Dash,"22 Dec, 2014",RobTop Games,RobTop Games,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Family Sharing","windows, mac",4.29,GBP,
224260,No More Room in Hell,"31 Oct, 2013",No More Room in Hell Team,Lever Games,"Action, Indie, Free To Play","Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Captions available, VR Support, Steam Workshop, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Includes Source SDK","windows, linux",0.0,FREE,
367520,Hollow Knight,"24 Feb, 2017",Team Cherry,Team Cherry,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",46.99,BRL,
301520,Robocraft,"24 Aug, 2017",Freejam,Freejam,"Action, Indie, Massively Multiplayer, RPG, Simulation, Free To Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Family Sharing","windows, mac, linux",0.0,FREE,
466240,Deceit,"3 Mar, 2017",World Makers,World Makers,"Action, Indie, Free To Play","Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet",windows,0.0,FREE,
278360,A Story About My Uncle,"28 May, 2014",Gone North Games,Coffee Stain Publishing,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","windows, mac, linux",55.79,BRL,
264710,Subnautica,"23 Jan, 2018",Unknown Worlds Entertainment,Unknown Worlds Entertainment,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, VR Support, Steam Cloud, Remote Play on TV, Family Sharing","windows, mac",83.41,BRL,
370910,Kathy Rain,"5 May, 2016",Clifftop Games,Raw Fury,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","windows, mac",32.99,BRL,
275390,Guacamelee! Super Turbo Championship Edition,"21 Aug, 2014",DrinkBox Studios,DrinkBox Studios,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",windows,46.99,BRL,
2881650,Content Warning,"1 Apr, 2024",Wilnyl,Landfall,"Action, Adventure, Indie","Multi-player, Co-op, Online Co-op, Partial Controller Support, Steam Cloud, Family Sharing",windows,26.49,BRL,
1229490,ULTRAKILL,3/set./2020,"Arsi ""Hakita"" Patala",New Blood Interactive,"Ação, Indie, Acesso Antecipado","Um jogador, Compat. total com controle, Nuvem Steam, Compartilhamento em família",windows,44.99,BRL,
219640,Chivalry: Medieval Warfare,"16 Oct, 2012",Torn Banner Studios,Torn Banner Studios,"Action, Indie","Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Includes level editor, Remote Play on TV, Family Sharing","windows, mac, linux",9.19,BRL,
244210,Assetto Corsa,"19 Dec, 2014",Kunos Simulazioni,Kunos Simulazioni,"Indie, Racing, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, VR Supported, Partial Controller Support, Steam Leaderboards, Includes level editor, Family Sharing",windows,14.99,BRL,
