id_jogo,nome,data_lancamento,desenvolvedor,publicadora,generos,categorias,plataformas,preco,moeda,jogadores_atuais
236390,War Thunder,"15 Aug, 2013",Gaijin Entertainment,Gaijin Network Ltd,"Action, Massively Multiplayer, Simulation, Free To Play","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Supported, In-App Purchases, Remote Play on Phone, Remote Play on Tablet","windows, mac, linux",0.0,FREE,
4000,Garry's Mod,"29 Nov, 2006",Facepunch Studios,Valve,"Casual, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Includes Source SDK, Remote Play on Tablet, Family Sharing","windows, mac, linux",5.79,USD,
552990,World of Warships,"15 Nov, 2017",Wargaming Group Limited,Wargaming Group Limited,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud",windows,0.0,FREE,
413150,Stardew Valley,"Feb 26, 2016",ConcernedApe,ConcernedApe,"Indie, RPG, Simulation","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","windows, mac, linux",14.99,USD,
242760,The Forest,"30 Apr, 2018",Endnight Games Ltd,Endnight Games Ltd,"Action, Adventure, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Tracked Controller Support, VR Supported, Partial Controller Support, Steam Cloud, Family Sharing",windows,16.79,EUR,
1491000,War Robots: Frontiers,"4 Mar, 2025",MY.GAMES,MY.GAMES,"Action, Simulation, Free To Play","Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Full controller support, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Stereo Sound, Surround Sound",windows,0.0,FREE,
438100,VRChat,"1 Feb, 2017",VRChat Inc.,VRChat Inc.,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, Tracked Controller Support, VR Supported, In-App Purchases",windows,0.0,FREE,
227300,Euro Truck Simulator 2,"12 Oct, 2012",SCS Software,SCS Software,"Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","windows, mac, linux",24800.0,KRW,
108600,Project Zomboid,"8 Nov, 2013",The Indie Stone,The Indie Stone,"Indie, RPG, Simulation, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Partial Controller Support, Remote Play Together, Family Sharing","windows, mac, linux",59.99,BRL,
648800,Raft,"20 Jun, 2022",Redbeet Interactive,Axolot Games,"Adventure, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",windows,36.99,BRL,
444200,World of Tanks Blitz,"9 Nov, 2016",Wargaming Group Limited,Wargaming Group Limited,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases","windows, mac",0.0,FREE,
3164500,Schedule I,"24 Mar, 2025",TVGS,TVGS,"Action, Indie, Simulation, Strategy, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Save Anytime, Stereo Sound, Steam Cloud, Family Sharing",windows,59.99,BRL,
1222670,The Sims™ 4,"18 Jun, 2020",Maxis,Electronic Arts,"Adventure, Casual, Simulation, Free To Play","Single-player, Steam Trading Cards, Mouse Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Remote Play on Tablet",windows,0.0,FREE,
322330,Don't Starve Together,"21 Apr, 2016",Klei Entertainment,Klei Entertainment,"Action, Adventure, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",9.51,BRL,
477160,Human Fall Flat,"22 Jul, 2016",No Brakes Games,Curve Games,"Adventure, Casual, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Stats, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac",11.39,BRL,
251570,7 Days to Die,"25 Jul, 2024",The Fun Pimps,The Fun Pimps Entertainment LLC,"Action, Adventure, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",121.99,BRL,
1665460,eFootball™,"29 Sep, 2021",KONAMI,KONAMI,"Simulation, Sports, Free To Play","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, In-App Purchases, Partial Controller Support",windows,0.0,FREE,
417910,Street Warriors Online,"16 Dec, 2016",Crazy Rocks Studios,Crazy Rocks Studios,"Action, Massively Multiplayer, Simulation, Sports","Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats, Family Sharing",windows,4.29,BRL,
