id_jogo,nome,data_lancamento,desenvolvedor,publicadora,generos,categorias,plataformas,preco,moeda,jogadores_atuais
438100,VRChat,"1 Feb, 2017",VRChat Inc.,VRChat Inc.,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, Tracked Controller Support, VR Supported, In-App Purchases",windows,0.0,FREE,
1097150,Fall Guys,"Aug 3, 2020",Mediatonic,,"Action, Casual, Indie, Massively Multiplayer, Sports","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet",windows,0.0,FREE,
252950,Rocket League®,"6 Jul, 2015",Psyonix LLC,Psyonix LLC,"Action, Indie, Racing, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",windows,0.0,FREE,
1665460,eFootball™,"29 Sep, 2021",KONAMI,KONAMI,"Simulation, Sports, Free To Play","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, In-App Purchases, Partial Controller Support",windows,0.0,FREE,
417910,Street Warriors Online,"16 Dec, 2016",Crazy Rocks Studios,Crazy Rocks Studios,"Action, Massively Multiplayer, Simulation, Sports","Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats, Family Sharing",windows,4.29,BRL,
1089350,NBA 2K20,"6 Sep, 2019",Visual Concepts,2K,"Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",windows,0.0,FREE,
1811260,EA SPORTS™ FIFA 23,"30 Sep, 2022",EA Canada & EA Romania,Electronic Arts,"Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases",windows,0.0,FREE,
2195250,EA SPORTS FC™ 24,"28 Sep, 2023",EA Canada,Electronic Arts,"Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Adjustable Difficulty, Keyboard Only Option, Stereo Sound, Remote Play Together, HDR available",windows,69.99,USD,
253710,theHunter Classic,"3 Jun, 2014",Expansive Worlds,Expansive Worlds,"Action, Adventure, Free To Play, Simulation, Sports","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases",windows,0.0,FREE,
1551360,Forza Horizon 5,"8 Nov, 2021",Playground Games,Xbox Game Studios,"Action, Adventure, Racing, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",windows,16.39,USD,
766570,Russian Fishing 4,"10 Nov, 2021",FishSoft LLC,FishSoft LLC,"Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free To Play","Single-player, Multi-player, MMO, PvP, Online PvP, Steam Achievements, In-App Purchases, Stats",windows,0.0,FREE,
2669320,EA SPORTS FC™ 25,"26 Sep, 2024",EA Canada,Electronic Arts,"Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Adjustable Difficulty, Keyboard Only Option, Stereo Sound, Remote Play Together, HDR available",windows,299.0,BRL,
518790,theHunter: Call of the Wild™,"16 Feb, 2017",Expansive Worlds,Avalanche Studios,"Adventure, Simulation, Sports","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Family Sharing",windows,59.99,BRL,
1222680,Need for Speed™ Heat,"4 Jun, 2020",Ghost Games,Electronic Arts,"Action, Adventure, Racing, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play on Tablet, HDR available",windows,279.0,BRL,
1506830,FIFA 22,"1 Oct, 2021",EA Canada & EA Romania,Electronic Arts,"Simulation, Sports","Single-player, Multi-player, MMO, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, In-App Purchases, Partial Controller Support",windows,0.0,FREE,
460920,Steep™,"Dec 2, 2016",Ubisoft Annecy,Ubisoft,"Action, Sports","Single-player, Multi-player, PvP, Online PvP, Steam Trading Cards, In-App Purchases, Partial Controller Support, Family Sharing",windows,29.99,USD,
